,Accuracy,Precision,Recall,F1 score
GB_00p_A,0.9777,0.9933,0.9701,0.9816
GB_00p_B,0.9857,0.9947,0.9818,0.9882
GB_00p_AB,0.9905,0.9909,0.9935,0.9922
