,B6_00p_A,B6_00p_A,B6_00p_A,B6_00p_A,B6_00p_B,B6_00p_B,B6_00p_B,B6_00p_B,B6_00p_AB,B6_00p_AB,B6_00p_AB,B6_00p_AB
,Accuracy,Precision,Recall,F1 score,Accuracy,Precision,Recall,F1 score,Accuracy,Precision,Recall,F1 score
Heavy Oil,0.8981,0.898,0.8462,0.8713,0.9262,0.8364,0.8846,0.8598,0.9426,0.9074,0.9423,0.9245
Die Punch,0.8981,0.8204,0.8457,0.8329,0.9262,0.9247,0.8333,0.8766,0.9426,0.925,0.9136,0.9193
Scrapped Wire,0.8981,0.8298,0.8478,0.8387,0.9262,0.8776,0.9348,0.9053,0.9426,0.86,0.9348,0.8958
Die Chip,0.8981,0.9831,0.9587,0.9707,0.9262,0.9915,0.9669,0.979,0.9426,0.9752,0.9752,0.9752
Die Internal,0.8981,0.903,0.8176,0.8582,0.9262,0.8797,0.9392,0.9085,0.9426,0.9504,0.9054,0.9274
PIN,0.8981,0.8908,0.981,0.9337,0.9262,0.9379,0.9557,0.9467,0.9426,0.9682,0.962,0.9651
