,Accuracy,Precision,Recall,F1 score
GB_00p_A,0.9814,0.9917,0.9778,0.9847
GB_00p_B,0.9957,0.9988,0.9941,0.9964
GB_00p_AB,0.9971,1.0,0.9953,0.9976
