,B6_10p_A,B6_10p_A,B6_10p_A,B6_10p_A,B6_10p_B,B6_10p_B,B6_10p_B,B6_10p_B,B6_10p_AB,B6_10p_AB,B6_10p_AB,B6_10p_AB
,Accuracy,Precision,Recall,F1 score,Accuracy,Precision,Recall,F1 score,Accuracy,Precision,Recall,F1 score
Heavy Oil,0.9323,0.9318,0.8723,0.9011,0.9544,0.8776,0.9149,0.8959,0.987,1.0,0.9787,0.9892
Die Punch,0.9323,0.8462,0.9041,0.8742,0.9544,0.9116,0.9178,0.9147,0.987,0.993,0.9658,0.9792
Scrapped Wire,0.9323,0.9474,0.8675,0.9057,0.9544,0.9756,0.9639,0.9697,0.987,0.9647,0.988,0.9762
Die Chip,0.9323,0.9817,0.9862,0.9839,0.9544,1.0,0.9817,0.9908,0.987,1.0,0.9954,0.9977
Die Internal,0.9323,0.907,0.8864,0.8966,0.9544,0.9328,0.947,0.9398,0.987,0.9701,0.9848,0.9774
PIN,0.9323,0.9653,0.9789,0.9721,0.9544,0.9648,0.9648,0.9648,0.987,0.9861,1.0,0.993
