,Accuracy,Precision,Recall,F1 score
GB_10p_A,0.9721,0.9766,0.9778,0.9772
GB_10p_B,0.9878,0.9849,0.9953,0.9901
GB_10p_AB,0.985,0.9782,0.9977,0.9879
