,B6_10p_A,B6_10p_A,B6_10p_A,B6_10p_A,B6_10p_B,B6_10p_B,B6_10p_B,B6_10p_B,B6_10p_AB,B6_10p_AB,B6_10p_AB,B6_10p_AB
,Accuracy,Precision,Recall,F1 score,Accuracy,Precision,Recall,F1 score,Accuracy,Precision,Recall,F1 score
Heavy Oil,0.8852,0.8491,0.8654,0.8572,0.9262,0.9184,0.8654,0.8911,0.9532,0.9444,0.9808,0.9623
Die Punch,0.8852,0.8024,0.8272,0.8146,0.9262,0.8875,0.8765,0.882,0.9532,0.9321,0.9321,0.9321
Scrapped Wire,0.8852,0.8824,0.8152,0.8475,0.9262,0.8936,0.913,0.9032,0.9532,0.9222,0.9022,0.9121
Die Chip,0.8852,0.9708,0.9628,0.9668,0.9262,0.9833,0.9711,0.9772,0.9532,0.9715,0.9876,0.9795
Die Internal,0.8852,0.8146,0.8311,0.8228,0.9262,0.8831,0.9189,0.9006,0.9532,0.9384,0.9257,0.932
PIN,0.8852,0.9241,0.9241,0.9241,0.9262,0.943,0.943,0.943,0.9532,0.9808,0.9684,0.9746
